11 0
12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
13 0.00000000000000e+00 1.00000000000000e+01 0.00000000000000e+00
14 0.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00
15 0.00000000000000e+00 2.00000000000000e+00 0.00000000000000e+00
16 0.00000000000000e+00 3.00000000000000e+00 0.00000000000000e+00
17 0.00000000000000e+00 4.00000000000000e+00 0.00000000000000e+00
18 0.00000000000000e+00 5.00000000000000e+00 0.00000000000000e+00
19 0.00000000000000e+00 6.00000000000000e+00 0.00000000000000e+00
20 0.00000000000000e+00 7.00000000000000e+00 0.00000000000000e+00
21 0.00000000000000e+00 8.00000000000000e+00 0.00000000000000e+00
22 0.00000000000000e+00 9.00000000000000e+00 0.00000000000000e+00
